,ds,y
0,2021-02-05,32318.501953125
1,2021-02-06,32318.501953125
2,2021-02-07,32318.501953125
3,2021-02-08,32256.154296875
4,2021-02-09,32235.369140625
5,2021-02-10,32006.748046875
6,2021-02-11,32193.80078125
7,2021-02-12,32193.80078125
8,2021-02-13,32193.80078125
9,2021-02-14,32193.80078125
10,2021-02-15,32193.80078125
11,2021-02-16,31985.96484375
12,2021-02-17,31694.994140625
13,2021-02-18,31591.076171875
14,2021-02-19,31383.2421875
15,2021-02-20,31383.2421875
16,2021-02-21,31383.2421875
17,2021-02-22,30822.083984375
18,2021-02-23,30385.62890625
19,2021-02-24,30510.328125
20,2021-02-25,30489.546875
21,2021-02-26,30344.060546875
22,2021-02-27,30344.060546875
23,2021-02-28,30344.060546875
24,2021-03-01,30427.1953125
25,2021-03-02,31071.48828125
26,2021-03-03,30759.732421875
27,2021-03-04,30676.599609375
28,2021-03-05,30427.1953125
29,2021-03-06,30427.1953125
30,2021-03-07,30427.1953125
31,2021-03-08,30406.412109375
32,2021-03-09,30136.2265625
33,2021-03-10,30136.2265625
34,2021-03-11,30136.2265625
35,2021-03-12,30115.44140625
36,2021-03-13,30115.44140625
37,2021-03-14,30115.44140625
38,2021-03-15,30094.66015625
39,2021-03-16,30489.546875
40,2021-03-17,30177.79296875
41,2021-03-18,30427.1953125
42,2021-03-19,31404.0234375
43,2021-03-20,31404.0234375
44,2021-03-21,31404.0234375
45,2021-03-22,31404.0234375
46,2021-03-23,30572.6796875
47,2021-03-24,29782.904296875
48,2021-03-25,29782.904296875
49,2021-03-26,30011.521484375
50,2021-03-27,30011.521484375
51,2021-03-28,30011.521484375
52,2021-03-29,30302.4921875
53,2021-03-30,30489.546875
54,2021-03-31,30073.875
55,2021-04-01,30198.576171875
56,2021-04-02,30198.576171875
57,2021-04-03,30198.576171875
58,2021-04-04,30198.576171875
59,2021-04-05,30094.66015625
60,2021-04-06,30157.0078125
61,2021-04-07,30115.44140625
62,2021-04-08,30801.298828125
63,2021-04-09,31632.64453125
64,2021-04-10,31632.64453125
65,2021-04-11,31632.64453125
66,2021-04-12,30614.24609375
67,2021-04-13,30240.142578125
68,2021-04-14,30447.978515625
69,2021-04-15,30219.359375
70,2021-04-16,30260.92578125
71,2021-04-17,30260.92578125
72,2021-04-18,30260.92578125
73,2021-04-19,30136.2265625
74,2021-04-20,30219.359375
75,2021-04-21,30094.66015625
76,2021-04-22,30032.3046875
77,2021-04-23,29969.955078125
78,2021-04-24,29969.955078125
79,2021-04-25,29969.955078125
80,2021-04-26,30115.44140625
81,2021-04-27,29928.388671875
82,2021-04-28,30281.708984375
83,2021-04-29,30032.3046875
84,2021-04-30,30011.521484375
85,2021-05-01,30011.521484375
86,2021-05-02,30011.521484375
87,2021-05-03,29845.255859375
88,2021-05-04,29678.984375
89,2021-05-05,29429.580078125
90,2021-05-06,29242.529296875
91,2021-05-07,29159.392578125
92,2021-05-08,29159.392578125
93,2021-05-09,29159.392578125
94,2021-05-10,29242.529296875
95,2021-05-11,29138.609375
96,2021-05-12,29138.609375
97,2021-05-13,29138.609375
98,2021-05-14,29138.609375
99,2021-05-15,29138.609375
100,2021-05-16,29138.609375
101,2021-05-17,27933.162109375
102,2021-05-18,28099.431640625
103,2021-05-19,27496.70703125
104,2021-05-20,27372.005859375
105,2021-05-21,27372.005859375
106,2021-05-22,27372.005859375
107,2021-05-23,27372.005859375
108,2021-05-24,27434.35546875
109,2021-05-25,27517.490234375
110,2021-05-26,27517.490234375
111,2021-05-27,27351.220703125
112,2021-05-28,27351.220703125
113,2021-05-29,27351.220703125
114,2021-05-30,27351.220703125
115,2021-05-31,27559.056640625
116,2021-06-01,27559.056640625
117,2021-06-02,28140.998046875
118,2021-06-03,27933.162109375
119,2021-06-04,27725.326171875
120,2021-06-05,27725.326171875
121,2021-06-06,27725.326171875
122,2021-06-07,27829.244140625
123,2021-06-08,27455.140625
124,2021-06-09,27330.439453125
125,2021-06-10,27933.162109375
126,2021-06-11,27933.162109375
127,2021-06-12,27933.162109375
128,2021-06-13,27933.162109375
129,2021-06-14,28182.564453125
130,2021-06-15,28847.640625
131,2021-06-16,29637.41796875
132,2021-06-17,29949.171875
133,2021-06-18,29720.55078125
134,2021-06-19,29720.55078125
135,2021-06-20,29720.55078125
136,2021-06-21,30115.44140625
137,2021-06-22,31175.40234375
138,2021-06-23,31528.724609375
139,2021-06-24,31819.6953125
140,2021-06-25,32214.5859375
141,2021-06-26,32214.5859375
142,2021-06-27,32214.5859375
143,2021-06-28,33877.2734375
144,2021-06-29,36163.46875
145,2021-06-30,36745.41015625
146,2021-07-01,36745.41015625
147,2021-07-02,39281.0078125
148,2021-07-03,39281.0078125
149,2021-07-04,39281.0078125
150,2021-07-05,36537.5703125
151,2021-07-06,34438.4296875
152,2021-07-07,33960.41015625
153,2021-07-08,33731.7890625
154,2021-07-09,34209.80859375
155,2021-07-10,34209.80859375
156,2021-07-11,34209.80859375
157,2021-07-12,34729.3984375
158,2021-07-13,34542.34765625
159,2021-07-14,33669.4375
160,2021-07-15,33835.703125
161,2021-07-16,33420.03515625
162,2021-07-17,33420.03515625
163,2021-07-18,33420.03515625
164,2021-07-19,33242.26953125
165,2021-07-20,33242.26953125
166,2021-07-21,31975.685546875
167,2021-07-22,32220.11328125
168,2021-07-23,32042.34765625
169,2021-07-24,32042.34765625
170,2021-07-25,32042.34765625
171,2021-07-26,31575.7109375
172,2021-07-27,30931.30859375
173,2021-07-28,30486.892578125
174,2021-07-29,30953.529296875
175,2021-07-30,29153.646484375
176,2021-07-31,29153.646484375
177,2021-08-01,29153.646484375
178,2021-08-02,29064.763671875
179,2021-08-03,29375.85546875
180,2021-08-04,29086.984375
181,2021-08-05,29264.751953125
182,2021-08-06,29153.646484375
183,2021-08-07,29153.646484375
184,2021-08-08,29153.646484375
185,2021-08-09,29175.869140625
186,2021-08-10,28953.66015625
187,2021-08-11,28953.66015625
188,2021-08-12,29242.529296875
189,2021-08-13,28975.880859375
190,2021-08-14,28975.880859375
191,2021-08-15,28975.880859375
192,2021-08-16,28664.7890625
193,2021-08-17,28664.7890625
194,2021-08-18,27442.6484375
195,2021-08-19,26842.6875
196,2021-08-20,26931.5703125
197,2021-08-21,26931.5703125
198,2021-08-22,26931.5703125
199,2021-08-23,28242.595703125
200,2021-08-24,28687.01171875
201,2021-08-25,28775.89453125
202,2021-08-26,28620.349609375
203,2021-08-27,28420.361328125
204,2021-08-28,28420.361328125
205,2021-08-29,28420.361328125
206,2021-08-30,29020.32421875
207,2021-08-31,29398.076171875
208,2021-09-01,29642.50390625
209,2021-09-02,28975.880859375
210,2021-09-03,29420.294921875
211,2021-09-04,29420.294921875
212,2021-09-05,29420.294921875
213,2021-09-06,29398.076171875
214,2021-09-07,29198.08984375
215,2021-09-08,28753.671875
216,2021-09-09,29820.26953125
217,2021-09-10,29464.73828125
218,2021-09-11,29464.73828125
219,2021-09-12,29464.73828125
220,2021-09-13,28798.115234375
221,2021-09-14,28886.998046875
222,2021-09-15,28442.583984375
223,2021-09-16,28753.671875
224,2021-09-17,28309.2578125
225,2021-09-18,28309.2578125
226,2021-09-19,28309.2578125
227,2021-09-20,28353.701171875
228,2021-09-21,27953.7265625
229,2021-09-22,27909.283203125
230,2021-09-23,27909.283203125
231,2021-09-24,27620.4140625
232,2021-09-25,27620.4140625
233,2021-09-26,27620.4140625
234,2021-09-27,27575.97265625
235,2021-09-28,28042.609375
236,2021-09-29,28153.712890625
237,2021-09-30,28931.44140625
238,2021-10-01,28487.0234375
239,2021-10-02,28487.0234375
240,2021-10-03,28487.0234375
241,2021-10-04,28864.77734375
242,2021-10-05,28998.1015625
243,2021-10-06,29375.85546875
244,2021-10-07,30886.8671875
245,2021-10-08,30797.984375
246,2021-10-09,30797.984375
247,2021-10-10,30797.984375
248,2021-10-11,30086.919921875
249,2021-10-12,29575.841796875
250,2021-10-13,30686.880859375
251,2021-10-14,30753.54296875
252,2021-10-15,30575.775390625
253,2021-10-16,30575.775390625
254,2021-10-17,30575.775390625
255,2021-10-18,31242.3984375
256,2021-10-19,31109.076171875
257,2021-10-20,31109.076171875
258,2021-10-21,31286.841796875
